MSA,Population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Providence-Warwick,1624578,1,1,1,2,2,3,3,7,8,11,11,19,26,26,26,42,46,46,46,59,59
Provo-Orem,648252,2,2,2,2,2,2,2,2,2,2,2,4,5,5,5,5,5,6,7,7,7
Raleigh-Cary,1390785,1,1,1,1,1,1,1,2,3,3,3,3,5,6,6,5,5,5,6,12,17
Richmond,1291900,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,42,42
Riverside-San Bernardino-Ontario,4650631,3,3,3,4,4,6,6,6,8,10,11,11,11,12,17,19,20,22,28,32,38
Rochester,1069644,1,1,1,1,1,1,2,3,3,4,4,5,5,6,8,9,10,11,15,20,27
Sacramento-Roseville-Folsom,2363730,1,1,1,1,1,1,1,2,2,2,1,2,3,3,3,4,4,4,4,6,6
Salt Lake City,1232696,2,2,2,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,12,13,15
San Antonio-New Braunfels,2550960,1,1,1,2,3,6,6,6,8,8,11,11,11,11,13,14,14,21,25,27,29
San Diego-Chula Vista-Carlsbad,3338330,1,1,2,3,3,6,7,7,7,9,15,16,17,18,19,19,31,36,40,44,45
San Francisco-Oakland-Berkeley,4731803,1,1,1,1,2,2,2,3,4,9,12,14,17,20,23,30,31,34,41,44,46
San Jose-Sunnyvale-Santa Clara,1990660,1,1,1,1,1,2,2,4,6,6,9,9,9,11,17,18,20,21,26,26,29
Seattle-Tacoma-Bellevue,3979845,1,1,6,7,10,11,13,16,18,18,22,23,30,36,38,39,47,52,63,68,76
Spokane-Spokane Valley,568521,2,2,4,4,5,5,7,10,11,12,12,13,14,17,14,14,15,16,18,18,18
Springfield,697382,2,3,6,6,6,16,24,29,41,49,49,54,75,86,86,86,120,133,133,133,182
St. Louis,2803228,1,1,1,2,2,3,4,4,4,7,7,8,8,11,11,18,26,29,40,57,66
Stockton,762148,2,2,2,2,2,2,2,3,3,3,4,4,6,6,8,9,9,11,11,11,13
Syracuse,648593,2,2,2,2,2,2,2,2,3,4,5,6,7,7,10,11,12,13,13,14,16
Tampa-St. Petersburg-Clearwater,3194831,1,1,1,1,1,3,3,4,8,9,10,10,13,14,14,15,15,15,19,22,23
Toledo,641816,1,1,1,1,1,2,2,2,2,2,3,3,3,3,4,7,8,12,16,18,18
Tucson,1047279,1,1,1,4,4,4,4,4,4,11,11,11,12,13,13,16,16,16,16,29,29
Tulsa,998626,1,1,1,2,2,2,2,2,3,6,6,6,7,7,10,13,14,14,15,25,28
Virginia Beach-Norfolk-Newport News,1768901,1,2,2,2,2,2,2,5,5,6,6,6,6,7,7,7,7,7,7,7,7
Washington-Arlington-Alexandria,6280487,1,2,2,5,5,6,6,8,8,11,16,23,24,25,38,44,54,63,79,82,106
Wichita,640218,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,4,4,4,4,4,5
Winston-Salem,676008,1,1,2,3,3,4,5,5,5,7,7,8,8,8,9,9,10,10,10,10,10
Worcester,947404,2,3,3,5,5,5,7,9,13,14,18,18,19,24,30,30,30,42,50,50,50
